开始将文件名转换为中文 2025年 4月 7日 星期一 15时44分41秒 CST
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2023-09-01-如何获取Notion数据库字段信息.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-04-07-rules.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-02-07-GitHub-Desktop安装与汉化.md - 文件名已经符合要求
2025-04-07 15:44:41 - 已重命名: docs/posts/tech-tools/2025-02-05-notion-api.md -> docs/posts/tech-tools/2025-02-05-Notion-API.md
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-02-10-cursor-full-usage.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-04-07-Docker：详细安装与配置步骤.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-02-10-deepseek.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-04-07-macOS.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-02-06-macos-docker-installation-guide.md - 文件名已经符合要求
2025-04-07 15:44:41 - 已重命名: docs/posts/tech-tools/2025-01-07-sublime-text.md -> docs/posts/tech-tools/2025-01-07-Sublime-Text.md
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-02-05-deepseek本地化部署.md - 文件名已经符合要求
2025-04-07 15:44:41 - 已重命名: docs/posts/tech-tools/2025-01-01-asset-tracker.md -> docs/posts/tech-tools/2025-01-01-Asset-Tracker.md
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-04-07-语雀文档能力支持整理.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2024-03-18-VS-Code中使用Draw.io完全指南.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-02-05-asset.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-02-06-notion+pushplus公众号任务提醒.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-04-07-Cursor.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-01-24-notion+cursor.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-04-07-介绍.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-04-07-GitHub.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-02-17-AI帮我写SQL，十倍效率提升.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-04-07-Sublime.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-02-27-废品回收调研.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-04-07-_.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-04-07-GitHub仓库三种克隆方式.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-01-01-tech-tools-document.md - 文件名已经符合要求
2025-04-07 15:44:41 - 已重命名: docs/posts/tech-tools/2025-01-07-cursor-rules.md -> docs/posts/tech-tools/2025-01-07-Cursor-rules.md
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-04-07-HMW分析法.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-02-16-tech-tools-document.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/tech-tools/2025-04-07-上轻松部署.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-PRD模版.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-如何理解中台？.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-PMF.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-电商场景险有哪些？.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-后台产品经理感悟.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-产品经理必备技能：功能和流程.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-产品经理入门篇：什么是产品经理，相关角色有哪些？.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-产品生命周期理论.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-支付宝医疗健康模块产品体验.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-《供给侧改革背景下中国多层次农业保险产品结构研究》读书笔记.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-产品经理基础篇：如何做用户需求分析？.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-产品经理的核心竞争力思考.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-从小青龙3号解析保险产品模型.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-BRD.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-竞品分析如何写？.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-02-06-brd-business-requirements-template.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-黄金.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-知识管理的认知.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-支付宝基金产品分析.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-规则引擎——产品设计高阶思维.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-业务需求文档模板.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2024-10-30-product-management-document.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-产品架构设计之产品实体设计一，二.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-港币购买美债学习.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-超级用户方法论.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-需求分析.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-保全系统建设.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-PM12条.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-01-15-product-management-document.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2024-10-28-trading-product-manager.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-产品经理如何做项目管理？.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-产品经理基础篇：项目管理入门.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-保险产品分类.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-产品体验分析报告如何写？.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2024-12-30-alipay-health-module-experience.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/product-management/2025-04-07-B端需求分析与挖掘.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/finance/2025-03-27-unnamed-document.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/finance/2025-04-07-房地产系列.md - 文件名已经符合要求
2025-04-07 15:44:41 - 跳过: docs/posts/finance/2025-04-07-一文详解房地产投资.md - 文件名已经符合要求
2025-04-07 15:44:42 - 跳过: docs/posts/finance/2025-02-09-hkd-us-bonds-study.md - 文件名已经符合要求
2025-04-07 15:44:42 - 跳过: docs/posts/finance/2025-04-07-投资前必知必会.md - 文件名已经符合要求
2025-04-07 15:44:42 - 跳过: docs/posts/finance/2024-10-29-房地产系列分析.md - 文件名已经符合要求
2025-04-07 15:44:42 - 跳过: docs/posts/finance/2025-04-07-港币购买美债学习.md - 文件名已经符合要求
2025-04-07 15:44:42 - 跳过: docs/posts/finance/2025-04-07-投资基金的常见费用.md - 文件名已经符合要求
2025-04-07 15:44:42 - 跳过: docs/posts/finance/2025-04-07-《投资第一课》学习笔记.md - 文件名已经符合要求
2025-04-07 15:44:42 - 跳过: docs/posts/insurance/2025-04-03-融资信保.md - 文件名已经符合要求
2025-04-07 15:44:42 - 跳过: docs/posts/insurance/2024-03-18-农业保险研究报告.md - 文件名已经符合要求
2025-04-07 15:44:42 - 跳过: docs/posts/insurance/2025-04-07-一文读懂保险销售渠道.md - 文件名已经符合要求
2025-04-07 15:44:42 - 跳过: docs/posts/insurance/2025-04-07-一文读懂保险核心系统.md - 文件名已经符合要求
2025-04-07 15:44:42 - 跳过: docs/posts/insurance/2025-04-07-「再保险」平台.md - 文件名已经符合要求
2025-04-07 15:44:42 - 跳过: docs/posts/insurance/agriculture-insurance/2025-03-18-agriculture-insurance-document.md - 文件名已经符合要求
2025-04-07 15:44:42 - 跳过: docs/posts/insurance/agriculture-insurance/2024-01-10-farmer-insurance-analysis.md - 文件名已经符合要求
2025-04-07 15:44:42 - 跳过: docs/posts/insurance/2025-04-07-保险条文是如何开发出来的？.md - 文件名已经符合要求
2025-04-07 15:44:42 - 文件名转换完成
2025-04-07 15:44:42 - 总文件数: 106
2025-04-07 15:44:42 - 已重命名文件数: 6
